Abrev,States
AK,Alaska
AL,Alabama
AR,Arkansas
AS,AmericanÿSamoa
AZ,Arizona
CA,California
CO,Colorado
CT,Connecticut
DC,DistrictÿofÿColumbia
DE,Delaware
FL,Florida
GA,Georgia
GU,Guam
HI,Hawaii
IA,Iowa
ID,Idaho
IL,Illinois
IN,Indiana
KS,Kansas
KY,Kentucky
LA,Louisiana
MA,Massachusetts
MD,Maryland
ME,Maine
MI,Michigan
MN,Minnesota
MO,Missouri
MP,NorthernÿMarianaÿIslands
MS,Mississippi
MT,Montana
NA,National
NC,NorthÿCarolina
ND,NorthÿDakota
NE,Nebraska
NH,NewÿHampshire
NJ,NewÿJersey
NM,NewÿMexico
NV,Nevada
NY,NewÿYork
OH,Ohio
OK,Oklahoma
OR,Oregon
PA,Pennsylvania
PR,PuertoÿRico
RI,RhodeÿIsland
SC,SouthÿCarolina
SD,SouthÿDakota
TN,Tennessee
TX,Texas
UT,Utah
VA,Virginia
VI,VirginÿIslands
VT,Vermont
WA,Washington
WI,Wisconsin
WV,WestÿVirginia
WY,Wyoming
